a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,12.00,Oklahoma City Thunder,jumpball,,Gasol,,,Ibaka,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=1
,,,,,,,,,,1,11.34,Memphis Grizzlies,shot,,,,,,,,,,Randolph,,,,missed,,Jump Shot,,,,19,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=2
,,,,,,,,,,1,11.33,Oklahoma City Thunder,rebound,,,,,,,,,,Durant,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=3
,,,,,,,,,,1,11.20,Oklahoma City Thunder,shot,,,,,,,,,,Ibaka,,,,missed,,Jump Shot,,,,20,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=4
,,,,,,,,,,1,11.19,Memphis Grizzlies,rebound,,,,,,,,,,Conley,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=5
,,,,,,,,,,1,10.57,Memphis Grizzlies,shot,,,,,,,,,,Randolph,,,,missed,,Layup,,,,2,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=6
,,,,,,,,,,1,10.55,Oklahoma City Thunder,rebound,,,,,,,,,,Durant,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=7
,,,,,,,,,,1,10.44,Oklahoma City Thunder,shot,,,,,,,,,,Ibaka,,,,missed,,Jump Shot,,,,15,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=8
,,,,,,,,,,1,10.43,Oklahoma City Thunder,rebound,,,,,,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=9
,,,,,,,,,,1,10.25,Oklahoma City Thunder,shot,,,,,,,,,,Jackson,,,,missed,,Jump Shot,,,,20,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=10
,,,,,,,,,,1,10.24,Memphis Grizzlies,rebound,,,,,,,,,,Prince,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=11
,,,,,,,,,,1,10.11,Memphis Grizzlies,shot,,,,,,,,,,Allen,,,,missed,,Jump Shot,,,,20,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=12
,,,,,,,,,,1,10.10,Oklahoma City Thunder,rebound,,,,,,,,,,Perkins,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=13
,,,,,,,,,,1,9.51,Memphis Grizzlies,foul,,,,,,,,,,Allen,,,,,,Shooting,,,,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=14
,,,,,,,,,,1,9.51,Oklahoma City Thunder,free throw,,,,,,,1,,3,Sefolosha,,,foul,missed,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=15
,,,,,,,,,,1,9.51,Oklahoma City Thunder,rebound,,,,,,,,,,,,,,,,,,,,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=16
,,,,,,,,,,1,9.51,Oklahoma City Thunder,free throw,,,,,,,2,,3,Sefolosha,1,,foul,made,,,,,0-1,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=17
,,,,,,,,,,1,9.51,Oklahoma City Thunder,free throw,,,,,,,3,,3,Sefolosha,1,,foul,made,,,,,0-2,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=19
,,,,,,,,,,1,9.34,Memphis Grizzlies,shot,Conley,,,,,,,,,Gasol,2,,,made,,Layup,,,2-2,2,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=21
,,,,,,,,,,1,9.23,Oklahoma City Thunder,turnover,,,,,,,,,,Jackson Out of Bounds,,,Lost Ball,,,,,,2-2,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=22
,,,,,,,,,,1,9.05,Memphis Grizzlies,shot,,,,,,,,,,Allen,2,,,made,,Driving Layup,,,4-2,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=23
,,,,,,,,,,1,8.45,Oklahoma City Thunder,shot,Durant,,,,,,,,,Sefolosha,3,,,made,,3PT Jump Shot,,,4-5,25,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=24
,,,,,,,,,,1,8.25,Memphis Grizzlies,shot,Prince,,,,,,,,,Gasol,2,,,made,,Jump Shot,,,6-5,19,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=26
,,,,,,,,,,1,8.06,Oklahoma City Thunder,shot,Sefolosha,,,,,,,,,Durant,2,,,made,,Jump Shot,,,6-7,17,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=27
,,,,,,,,,,1,7.53,Memphis Grizzlies,shot,,,Perkins,,,,,,,Allen,,,,missed,,Driving Layup,,,6-7,2,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=28
,,,,,,,,,,1,7.53,Memphis Grizzlies,rebound,,,,,,,,,,Allen,,,,,,,,,6-7,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=29
,,,,,,,,,,1,7.53,Oklahoma City Thunder,foul,,,,,,,,,,Sefolosha,,,,,,Shooting,,,6-7,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=30
,,,,,,,,,,1,7.53,Memphis Grizzlies,free throw,,,,,,,1,,2,Allen,,,foul,missed,,,,,6-7,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=31
,,,,,,,,,,1,7.53,Memphis Grizzlies,rebound,,,,,,,,,,,,,,,,,,,6-7,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=32
,,,,,,,,,,1,7.53,Memphis Grizzlies,free throw,,,,,,,2,,2,Allen,1,,foul,made,,,,,7-7,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=33
,,,,,,,,,,1,7.43,Oklahoma City Thunder,shot,,,Randolph,,,,,,,Ibaka,,,,missed,,Dunk,,,7-7,2,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=38
,,,,,,,,,,1,7.41,Memphis Grizzlies,rebound,,,,,,,,,,Allen,,,,,,,,,7-7,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=36
,,,,,,,,,,1,7.34,Memphis Grizzlies,shot,Gasol,,,,,,,,,Randolph,2,,,made,,Turnaround Jump Shot,,,9-7,2,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=37
,,,,,,,,,,1,7.17,Oklahoma City Thunder,shot,Jackson,,,,,,,,,Perkins,2,,,made,,Layup,,,9-9,2,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=39
,,,,,,,,,,1,6.49,Memphis Grizzlies,shot,,,,,,,,,,Prince,,,,missed,,Jump Shot,,,9-9,23,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=40
,,,,,,,,,,1,6.48,Oklahoma City Thunder,rebound,,,,,,,,,,Ibaka,,,,,,,,,9-9,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=41
,,,,,,,,,,1,6.37,Oklahoma City Thunder,shot,,,,,,,,,,Ibaka,,,,missed,,Jump Shot,,,9-9,16,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=43
,,,,,,,,,,1,6.36,Oklahoma City Thunder,rebound,,,,,,,,,,Sefolosha,,,,,,,,,9-9,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=44
,,,,,,,,,,1,6.17,Oklahoma City Thunder,shot,,,,,,,,,,Perkins,,,,missed,,Jump Shot,,,9-9,14,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=46
,,,,,,,,,,1,6.17,Memphis Grizzlies,rebound,,,,,,,,,,Randolph,,,,,,,,,9-9,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=47
,,,,,,,,,,1,6.08,Memphis Grizzlies,shot,,,Ibaka,,,,,,,Conley,,,,missed,,Driving Layup,,,9-9,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=48
,,,,,,,,,,1,6.06,Oklahoma City Thunder,rebound,,,,,,,,,,Jackson,,,,,,,,,9-9,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=49
,,,,,,,,,,1,6.03,Oklahoma City Thunder,shot,,,,,,,,,,Jackson,2,,,made,,Finger Roll Layup,,,9-11,1,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=50
,,,,,,,,,,1,5.42,Oklahoma City Thunder,foul,,,,,,,,,,Perkins,,,,,,Personal,,,9-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=51
,,,,,,,,,,1,5.42,Oklahoma City Thunder,timeout,,,,,,,,,,,,,,,,,,,9-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=52
,,,,,,,,,,1,5.42,Memphis Grizzlies,substitute,,,,Bayless,,Randolph,,,,,,,,,,,,,9-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=54
,,,,,,,,,,1,5.42,Memphis Grizzlies,substitute,,,,Arthur,,Allen,,,,,,,,,,,,,9-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=55
,,,,,,,,,,1,5.34,Memphis Grizzlies,shot,,,,,,,,,,Arthur,,,,missed,,Jump Shot,,,9-11,20,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=56
,,,,,,,,,,1,5.34,Oklahoma City Thunder,rebound,,,,,,,,,,Durant,,,,,,,,,9-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=57
,,,,,,,,,,1,5.20,Oklahoma City Thunder,turnover,,,,,,,,,,Perkins,,,Traveling,,,,,,9-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=58
,,,,,,,,,,1,5.09,Memphis Grizzlies,shot,Conley,,,,,,,,,Gasol,2,,,made,,Jump Shot,,,11-11,18,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=59
,,,,,,,,,,1,4.53,Oklahoma City Thunder,turnover,,,,,,,,,,Durant,,,Lost Ball,,Conley,,,,11-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=61
,,,,,,,,,,1,4.48,Memphis Grizzlies,shot,,,,,,,,,,Arthur,,,,missed,,Layup,,,11-11,1,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=62
,,,,,,,,,,1,4.47,Memphis Grizzlies,rebound,,,,,,,,,,Prince,,,,,,,,,11-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=63
,,,,,,,,,,1,4.45,Memphis Grizzlies,shot,,,,,,,,,,Prince,2,,,made,,Layup,,,13-11,1,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=64
,,,,,,,,,,1,4.30,Oklahoma City Thunder,foul,,,,,,,,,,,,,,,,,,,13-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=65
,,,,,,,,,,1,4.30,Oklahoma City Thunder,turnover,,,,,,,,,,Jackson,,,Foul,,,,,,13-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=66
,,,,,,,,,,1,4.30,Oklahoma City Thunder,substitute,,,,Martin,,Sefolosha,,,,,,,,,,,,,13-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=67
,,,,,,,,,,1,4.30,Oklahoma City Thunder,substitute,,,,Collison,,Ibaka,,,,,,,,,,,,,13-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=68
,,,,,,,,,,1,4.18,Memphis Grizzlies,turnover,,,,,,,,,,Conley,,,Bad Pass,,,,,,13-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=69
,,,,,,,,,,1,3.57,Oklahoma City Thunder,shot,,,,,,,,,,Durant,,,,missed,,Running Jump Shot,,,13-11,12,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=71
,,,,,,,,,,1,3.57,Memphis Grizzlies,rebound,,,,,,,,,,Prince,,,,,,,,,13-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=72
,,,,,,,,,,1,3.45,Memphis Grizzlies,shot,,,,,,,,,,Bayless,,,,missed,,3PT Jump Shot,,,13-11,24,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=73
,,,,,,,,,,1,3.44,Oklahoma City Thunder,rebound,,,,,,,,,,Perkins,,,,,,,,,13-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=74
,,,,,,,,,,1,3.36,Memphis Grizzlies,foul,,,,,,,,,,Prince,,,,,,Shooting,,,13-11,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=75
,,,,,,,,,,1,3.36,Oklahoma City Thunder,free throw,,,,,,,1,,2,Durant,1,,foul,made,,,,,13-12,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=76
,,,,,,,,,,1,3.36,Oklahoma City Thunder,free throw,,,,,,,2,,2,Durant,1,,foul,made,,,,,13-13,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=78
,,,,,,,,,,1,3.19,Oklahoma City Thunder,foul,,,,,,,,,,Collison,,,,,,Shooting,,,13-13,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=80
,,,,,,,,,,1,3.19,Memphis Grizzlies,free throw,,,,,,,1,,2,Arthur,1,,foul,made,,,,,14-13,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=81
,,,,,,,,,,1,3.19,Oklahoma City Thunder,substitute,,,,Thabeet,,Perkins,,,,,,,,,,,,,14-13,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=83
,,,,,,,,,,1,3.19,Memphis Grizzlies,free throw,,,,,,,2,,2,Arthur,1,,foul,made,,,,,15-13,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=84
,,,,,,,,,,1,3.03,Memphis Grizzlies,foul,,,,,,,,,,Arthur,,,,,,Personal,,,15-13,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=86
,,,,,,,,,,1,3.03,Memphis Grizzlies,substitute,,,,Randolph,,Arthur,,,,,,,,,,,,,15-13,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=87
,,,,,,,,,,1,2.58,Oklahoma City Thunder,turnover,,,,,,,,,,Collison,,,Bad Pass,,Randolph,,,,15-13,,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=88
,,,,,,,,,,1,2.55,Memphis Grizzlies,shot,Randolph,,,,,,,,,Conley,2,,,made,,Layup,,,17-13,1,http://stats.nba.com/cvp.html?GameID=0041200222&GameEventID=89
