a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,11.34,Memphis Grizzlies,shot,,,,,,,,,,Randolph,2,,,made,,Jump Shot,,,2-0,18,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=2
,,,,,,,,,,1,11.10,Phoenix Suns,shot,Dragic,,,,,,,,,Dudley,3,,,made,,3PT Jump Shot,,,2-3,24,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=3
,,,,,,,,,,1,10.59,Phoenix Suns,foul,,,,,,,,,,Gortat,,,,,,Personal,,,2-3,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=4
,,,,,,,,,,1,10.47,Memphis Grizzlies,shot,,,,,,,,,,Gay,,,,missed,,Jump Shot,,,2-3,7,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=5
,,,,,,,,,,1,10.45,Memphis Grizzlies,rebound,,,,,,,,,,Randolph,,,,,,,,,2-3,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=7
,,,,,,,,,,1,10.45,Memphis Grizzlies,shot,,,,,,,,,,Randolph,,,,missed,,Layup,,,2-3,1,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=6
,,,,,,,,,,1,10.44,Memphis Grizzlies,rebound,,,,,,,,,,Conley,,,,,,,,,2-3,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=8
,,,,,,,,,,1,10.41,Memphis Grizzlies,shot,,,,,,,,,,Randolph,,,,missed,,Reverse Layup,,,2-3,2,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=9
,,,,,,,,,,1,10.37,Memphis Grizzlies,rebound,,,,,,,,,,Randolph,,,,,,,,,2-3,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=11
,,,,,,,,,,1,10.37,Memphis Grizzlies,shot,,,,,,,,,,Randolph,2,,,made,,Putback Layup,,,4-3,1,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=10
,,,,,,,,,,1,10.22,Phoenix Suns,shot,,,,,,,,,,Gortat,,,,missed,,Jump Shot,,,4-3,15,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=12
,,,,,,,,,,1,10.21,Memphis Grizzlies,rebound,,,,,,,,,,Allen,,,,,,,,,4-3,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=13
,,,,,,,,,,1,10.07,Memphis Grizzlies,shot,,,,,,,,,,Allen,,,,missed,,Jump Shot,,,4-3,5,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=14
,,,,,,,,,,1,10.06,Phoenix Suns,rebound,,,,,,,,,,Brown,,,,,,,,,4-3,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=15
,,,,,,,,,,1,9.46,Phoenix Suns,shot,,,,,,,,,,Dudley,,,,missed,,Jump Shot,,,4-3,19,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=17
,,,,,,,,,,1,9.43,Phoenix Suns,rebound,,,,,,,,,,Brown,,,,,,,,,4-3,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=19
,,,,,,,,,,1,9.43,Phoenix Suns,shot,,,,,,,,,,Brown,,,,missed,,Jump Shot,,,4-3,5,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=18
,,,,,,,,,,1,9.42,Phoenix Suns,rebound,,,,,,,,,,Scola,,,,,,,,,4-3,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=20
,,,,,,,,,,1,9.42,Memphis Grizzlies,foul,,,,,,,,,,Allen,,,,,,Shooting,,,4-3,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=21
,,,,,,,,,,1,9.42,Phoenix Suns,free throw,,,,,,,1,,2,Scola,1,,foul,made,,,,,4-4,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=22
,,,,,,,,,,1,9.42,Phoenix Suns,free throw,,,,,,,2,,2,Scola,1,,foul,made,,,,,4-5,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=24
,,,,,,,,,,1,9.26,Memphis Grizzlies,shot,,,,,,,,,,Conley,2,,,made,,Driving Layup,,,6-5,2,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=26
,,,,,,,,,,1,9.07,Phoenix Suns,shot,,,,,,,,,,Brown,,,,missed,,Jump Shot,,,6-5,15,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=27
,,,,,,,,,,1,9.06,Phoenix Suns,rebound,,,,,,,,,,Dudley,,,,,,,,,6-5,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=28
,,,,,,,,,,1,8.57,Phoenix Suns,turnover,,,,,,,,,,Scola,,,Lost Ball,,Conley,,,,6-5,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=29
,,,,,,,,,,1,8.44,Memphis Grizzlies,shot,Conley,,,,,,,,,Gay,2,,,made,,Jump Shot,,,8-5,17,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=31
,,,,,,,,,,1,8.26,Phoenix Suns,shot,,,,,,,,,,Dragic,2,,,made,,Layup,,,8-7,2,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=32
,,,,,,,,,,1,8.07,Memphis Grizzlies,shot,Allen,,,,,,,,,Conley,3,,,made,,3PT Jump Shot,,,11-7,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=33
,,,,,,,,,,1,7.55,Phoenix Suns,shot,,,,,,,,,,Scola,,,,missed,,Jump Shot,,,11-7,17,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=34
,,,,,,,,,,1,7.54,Memphis Grizzlies,rebound,,,,,,,,,,Allen,,,,,,,,,11-7,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=35
,,,,,,,,,,1,7.40,Memphis Grizzlies,shot,,,,,,,,,,Gasol,2,,,made,,Turnaround Fadeaway,,,13-7,13,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=36
,,,,,,,,,,1,7.14,Memphis Grizzlies,foul,,,,,,,,,,Gasol,,,,,,Shooting,,,13-7,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=37
,,,,,,,,,,1,7.14,Phoenix Suns,free throw,,,,,,,1,,2,Brown,1,,foul,made,,,,,13-8,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=38
,,,,,,,,,,1,7.14,Phoenix Suns,free throw,,,,,,,2,,2,Brown,1,,foul,made,,,,,13-9,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=40
,,,,,,,,,,1,6.54,Memphis Grizzlies,shot,,,,,,,,,,Randolph,2,,,made,,Jump Shot,,,15-9,15,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=42
,,,,,,,,,,1,6.42,Phoenix Suns,shot,Dragic,,,,,,,,,Scola,2,,,made,,Jump Shot,,,15-11,16,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=43
,,,,,,,,,,1,6.26,Memphis Grizzlies,shot,,,Scola,,,,,,,Gay,,,,missed,,Jump Shot,,,15-11,5,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=44
,,,,,,,,,,1,6.25,Memphis Grizzlies,rebound,,,,,,,,,,Gay,,,,,,,,,15-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=45
,,,,,,,,,,1,6.25,Phoenix Suns,foul,,,,,,,,,,Brown,,,,,,Personal,,,15-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=46
,,,,,,,,,,1,6.22,Memphis Grizzlies,shot,Gasol,,,,,,,,,Randolph,2,,,made,,Reverse Layup,,,17-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=47
,,,,,,,,,,1,6.03,Phoenix Suns,shot,,,,,,,,,,Scola,,,,missed,,3PT Jump Shot,,,17-11,24,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=48
,,,,,,,,,,1,6.00,Memphis Grizzlies,rebound,,,,,,,,,,Gay,,,,,,,,,17-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=49
,,,,,,,,,,1,5.58,Memphis Grizzlies,shot,Gay,,,,,,,,,Randolph,2,,,made,,Layup,,,19-11,1,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=50
,,,,,,,,,,1,5.52,Phoenix Suns,timeout,,,,,,,,,,,,,,,,,,,19-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=51
,,,,,,,,,,1,5.52,Phoenix Suns,substitute,,,,Beasley,,Scola,,,,,,,,,,,,,19-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=53
,,,,,,,,,,1,5.38,Phoenix Suns,shot,,,,,,,,,,Beasley,,,,missed,,Jump Shot,,,19-11,12,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=55
,,,,,,,,,,1,5.35,Memphis Grizzlies,rebound,,,,,,,,,,Randolph,,,,,,,,,19-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=56
,,,,,,,,,,1,5.15,Memphis Grizzlies,shot,,,,,,,,,,Allen,,,,missed,,Jump Shot,,,19-11,18,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=57
,,,,,,,,,,1,5.12,Memphis Grizzlies,rebound,,,,,,,,,,Randolph,,,,,,,,,19-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=58
,,,,,,,,,,1,5.09,Memphis Grizzlies,turnover,,,,,,,,,,,,,Shot Clock,,,,,,19-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=88
,,,,,,,,,,1,5.03,Phoenix Suns,shot,,,,,,,,,,Dragic,,,,missed,,Layup,,,19-11,3,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=60
,,,,,,,,,,1,5.00,Memphis Grizzlies,rebound,,,,,,,,,,Conley,,,,,,,,,19-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=61
,,,,,,,,,,1,4.54,Memphis Grizzlies,shot,,,,,,,,,,Allen,,,,missed,,Jump Shot,,,19-11,7,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=62
,,,,,,,,,,1,4.51,Phoenix Suns,rebound,,,,,,,,,,Gortat,,,,,,,,,19-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=63
,,,,,,,,,,1,4.46,Phoenix Suns,shot,,,,,,,,,,Beasley,,,,missed,,3PT Jump Shot,,,19-11,25,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=64
,,,,,,,,,,1,4.41,Phoenix Suns,rebound,,,,,,,,,,Dudley,,,,,,,,,19-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=65
,,,,,,,,,,1,4.41,Memphis Grizzlies,foul,,,,,,,,,,Gasol,,,,,,Personal,,,19-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=66
,,,,,,,,,,1,4.41,Memphis Grizzlies,substitute,,,,Arthur,,Gasol,,,,,,,,,,,,,19-11,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=67
,,,,,,,,,,1,4.36,Phoenix Suns,shot,Dragic,,,,,,,,,Gortat,2,,,made,,Reverse Layup,,,19-13,2,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=68
,,,,,,,,,,1,4.14,Memphis Grizzlies,shot,,,,,,,,,,Gay,,,,missed,,Jump Shot,,,19-13,14,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=69
,,,,,,,,,,1,4.09,Memphis Grizzlies,rebound,,,,,,,,,,,,,,,,,,,19-13,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=70
,,,,,,,,,,1,3.58,Memphis Grizzlies,shot,,,,,,,,,,Arthur,,,,missed,,Jump Shot,,,19-13,14,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=71
,,,,,,,,,,1,3.55,Phoenix Suns,rebound,,,,,,,,,,Dragic,,,,,,,,,19-13,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=72
,,,,,,,,,,1,3.50,Phoenix Suns,shot,,,,,,,,,,Dudley,,,,missed,,3PT Jump Shot,,,19-13,25,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=73
,,,,,,,,,,1,3.48,Phoenix Suns,rebound,,,,,,,,,,Gortat,,,,,,,,,19-13,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=74
,,,,,,,,,,1,3.46,Phoenix Suns,shot,,,,,,,,,,Gortat,2,,,made,,Reverse Layup,,,19-15,2,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=75
,,,,,,,,,,1,3.37,Memphis Grizzlies,shot,,,,,,,,,,Conley,2,,,made,,Driving Layup,,,21-15,1,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=76
,,,,,,,,,,1,3.29,Phoenix Suns,turnover,,,,,,,,,,Dragic,,,Lost Ball,,Allen,,,,21-15,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=77
,,,,,,,,,,1,3.25,Memphis Grizzlies,shot,,,,,,,,,,Allen,,,,missed,,Layup,,,21-15,2,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=78
,,,,,,,,,,1,3.22,Phoenix Suns,rebound,,,,,,,,,,Brown,,,,,,,,,21-15,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=79
,,,,,,,,,,1,3.20,Phoenix Suns,shot,,,,,,,,,,Brown,,,,missed,,Jump Shot,,,21-15,5,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=80
,,,,,,,,,,1,3.17,Phoenix Suns,rebound,,,,,,,,,,Beasley,,,,,,,,,21-15,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=82
,,,,,,,,,,1,3.17,Phoenix Suns,shot,,,,,,,,,,Beasley,,,,missed,,Putback Layup,,,21-15,1,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=86
,,,,,,,,,,1,3.17,Phoenix Suns,rebound,,,,,,,,,,Beasley,,,,,,,,,21-15,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=87
,,,,,,,,,,1,3.17,Phoenix Suns,shot,,,,,,,,,,Beasley,,,,missed,,Layup,,,21-15,1,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=81
,,,,,,,,,,1,3.07,Memphis Grizzlies,rebound,,,,,,,,,,Arthur,,,,,,,,,21-15,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=83
,,,,,,,,,,1,3.07,Memphis Grizzlies,timeout,,,,,,,,,,,,,,,,,,,21-15,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=84
,,,,,,,,,,1,3.07,Memphis Grizzlies,substitute,,,,Ellington,,Allen,,,,,,,,,,,,,21-15,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=90
,,,,,,,,,,1,2.52,Phoenix Suns,foul,,,,,,,,,,Dragic,,,,,,Shooting,,,21-15,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=92
,,,,,,,,,,1,2.52,Memphis Grizzlies,free throw,,,,,,,1,,2,Arthur,1,,foul,made,,,,,22-15,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=94
,,,,,,,,,,1,2.52,Memphis Grizzlies,free throw,,,,,,,2,,2,Arthur,1,,foul,made,,,,,23-15,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=96
,,,,,,,,,,1,2.35,Phoenix Suns,shot,,,,,,,,,,Brown,,,,missed,,3PT Jump Shot,,,23-15,25,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=98
,,,,,,,,,,1,2.32,Memphis Grizzlies,rebound,,,,,,,,,,Gay,,,,,,,,,23-15,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=99
,,,,,,,,,,1,2.17,Memphis Grizzlies,turnover,,,,,,,,,,Randolph,,,Traveling,,,,,,23-15,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=101
,,,,,,,,,,1,2.17,Phoenix Suns,substitute,,,,Tucker,,Brown,,,,,,,,,,,,,23-15,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=102
,,,,,,,,,,1,2.03,Phoenix Suns,shot,,,,,,,,,,Beasley,2,,,made,,Layup,,,23-17,2,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=103
,,,,,,,,,,1,1.41,Memphis Grizzlies,shot,Conley,,,,,,,,,Arthur,2,,,made,,Jump Shot,,,25-17,21,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=105
,,,,,,,,,,1,1.14,Phoenix Suns,turnover,,,,,,,,,,Dudley,,,Bad Pass,,Gay,,,,25-17,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=106
,,,,,,,,,,1,1.07,Memphis Grizzlies,shot,,,,,,,,,,Conley,,,,missed,,3PT Jump Shot,,,25-17,24,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=107
,,,,,,,,,,1,1.03,Phoenix Suns,rebound,,,,,,,,,,Beasley,,,,,,,,,25-17,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=108
,,,,,,,,,,1,0.58,Phoenix Suns,shot,Beasley,,,,,,,,,Dudley,2,,,made,,Dunk,,,25-19,1,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=109
,,,,,,,,,,1,0.42,Phoenix Suns,foul,,,,,,,,,,Tucker,,,,,,Shooting,,,25-19,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=110
,,,,,,,,,,1,0.42,Memphis Grizzlies,free throw,,,,,,,1,,2,Gay,1,,foul,made,,,,,26-19,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=111
,,,,,,,,,,1,0.42,Phoenix Suns,substitute,,,,Telfair,,Dragic,,,,,,,,,,,,,26-19,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=113
,,,,,,,,,,1,0.42,Memphis Grizzlies,substitute,,,,Speights,,Randolph,,,,,,,,,,,,,26-19,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=114
,,,,,,,,,,1,0.42,Memphis Grizzlies,substitute,,,,Bayless,,Conley,,,,,,,,,,,,,26-19,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=115
,,,,,,,,,,1,0.42,Memphis Grizzlies,free throw,,,,,,,2,,2,Gay,1,,foul,made,,,,,27-19,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=116
,,,,,,,,,,1,0.27,Phoenix Suns,shot,,,,,,,,,,Beasley,2,,,made,,Running Bank Shot,,,27-21,3,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=119
,,,,,,,,,,1,0.27,Memphis Grizzlies,foul,,,,,,,,,,Arthur,,,,,,Shooting,,,27-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=120
,,,,,,,,,,1,0.27,Phoenix Suns,free throw,,,,,,,1,,1,Beasley,,,foul,missed,,,,,27-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=121
,,,,,,,,,,1,0.27,Memphis Grizzlies,rebound,,,,,,,,,,Speights,,,,,,,,,27-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=123
,,,,,,,,,,1,0.05,Memphis Grizzlies,shot,,,,,,,,,,Ellington,,,,missed,,Jump Shot,,,27-21,18,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=124
,,,,,,,,,,1,0.02,Phoenix Suns,rebound,,,,,,,,,,Beasley,,,,,,,,,27-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=125
,,,,,,,,,,1,0.00,Phoenix Suns,shot,,,,,,,,,,Beasley,,,,missed,,3PT Jump Shot,,,27-21,33,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=126
,,,,,,,,,,1,0.00,Phoenix Suns,rebound,,,,,,,,,,,,,,,,,,,27-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=128
,,,,,,,,,,2,11.42,Phoenix Suns,turnover,,,,,,,,,,Tucker,,,Bad Pass,,,,,,27-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=131
,,,,,,,,,,2,11.23,Memphis Grizzlies,shot,,,,,,,,,,Bayless,,,,missed,,Jump Shot,,,27-21,19,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=132
,,,,,,,,,,2,11.20,Memphis Grizzlies,rebound,,,,,,,,,,Speights,,,,,,,,,27-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=133
,,,,,,,,,,2,11.19,Memphis Grizzlies,shot,,,,,,,,,,Speights,2,,,made,,Hook Shot,,,29-21,8,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=134
,,,,,,,,,,2,11.03,Phoenix Suns,shot,,,,,,,,,,Beasley,,,,missed,,3PT Jump Shot,,,29-21,25,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=135
,,,,,,,,,,2,11.00,Memphis Grizzlies,rebound,,,,,,,,,,Arthur,,,,,,,,,29-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=136
,,,,,,,,,,2,10.54,Memphis Grizzlies,shot,,,O'Neal,,,,,,,Arthur,,,,missed,,Dunk,,,29-21,2,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=137
,,,,,,,,,,2,10.50,Phoenix Suns,rebound,,,,,,,,,,Tucker,,,,,,,,,29-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=138
,,,,,,,,,,2,10.48,Phoenix Suns,shot,,,Bayless,,,,,,,Tucker,,,,missed,,Layup,,,29-21,1,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=139
,,,,,,,,,,2,10.43,Phoenix Suns,rebound,,,,,,,,,,,,,,,,,,,29-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=140
,,,,,,,,,,2,10.33,Phoenix Suns,shot,,,,,,,,,,Beasley,,,,missed,,Jump Shot,,,29-21,9,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=141
,,,,,,,,,,2,10.30,Memphis Grizzlies,rebound,,,,,,,,,,Ellington,,,,,,,,,29-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=142
,,,,,,,,,,2,10.28,Phoenix Suns,foul,,,,,,,,,,O'Neal,,,,,,Shooting,,,29-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=143
,,,,,,,,,,2,10.28,Memphis Grizzlies,free throw,,,,,,,1,,2,Gay,1,,foul,made,,,,,30-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=144
,,,,,,,,,,2,10.28,Memphis Grizzlies,free throw,,,,,,,2,,2,Gay,1,,foul,made,,,,,31-21,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=146
,,,,,,,,,,2,10.17,Phoenix Suns,shot,Telfair,,,,,,,,,O'Neal,2,,,made,,Layup,,,31-23,1,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=148
,,,,,,,,,,2,9.58,Phoenix Suns,foul,,,,,,,,,,,,,,,,,,,31-23,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=149
,,,,,,,,,,2,9.58,Memphis Grizzlies,free throw,,,,,,,,,,Gay,1,,Technical,made,,,,,32-23,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=150
,,,,,,,,,,2,9.52,Memphis Grizzlies,shot,Bayless,,,,,,,,,Speights,2,,,made,,Reverse Layup,,,34-23,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=152
,,,,,,,,,,2,9.41,Phoenix Suns,shot,Telfair,,,,,,,,,O'Neal,2,,,made,,Layup,,,34-25,1,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=153
,,,,,,,,,,2,9.26,Memphis Grizzlies,turnover,,,,,,,,,,Bayless,,,Bad Pass,,,,,,34-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=154
,,,,,,,,,,2,9.06,Phoenix Suns,shot,,,Gay,,,,,,,Beasley,,,,missed,,Jump Shot,,,34-25,16,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=155
,,,,,,,,,,2,9.03,Phoenix Suns,rebound,,,,,,,,,,Beasley,,,,,,,,,34-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=156
,,,,,,,,,,2,9.01,Phoenix Suns,shot,,,,,,,,,,Telfair,,,,missed,,Jump Shot,,,34-25,21,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=157
,,,,,,,,,,2,8.59,Memphis Grizzlies,rebound,,,,,,,,,,Speights,,,,,,,,,34-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=158
,,,,,,,,,,2,8.56,Memphis Grizzlies,shot,,,O'Neal,,,,,,,Ellington,,,,missed,,Jump Shot,,,34-25,11,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=159
,,,,,,,,,,2,8.55,Memphis Grizzlies,rebound,,,,,,,,,,,,,,,,,,,34-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=160
,,,,,,,,,,2,8.55,Memphis Grizzlies,substitute,,,,Pondexter,,Gay,,,,,,,,,,,,,34-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=163
,,,,,,,,,,2,8.46,Memphis Grizzlies,shot,Bayless,,,,,,,,,Arthur,2,,,made,,Jump Shot,,,36-25,19,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=165
,,,,,,,,,,2,8.23,Phoenix Suns,shot,,,,,,,,,,Tucker,,,,missed,,Jump Shot,,,36-25,20,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=166
,,,,,,,,,,2,8.21,Phoenix Suns,rebound,,,,,,,,,,O'Neal,,,,,,,,,36-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=167
,,,,,,,,,,2,8.19,Phoenix Suns,shot,,,,,,,,,,O'Neal,,,,missed,,Jump Shot,,,36-25,7,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=168
,,,,,,,,,,2,8.17,Memphis Grizzlies,rebound,,,,,,,,,,Bayless,,,,,,,,,36-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=169
,,,,,,,,,,2,8.12,Memphis Grizzlies,turnover,,,,,,,,,,Bayless,,,Bad Pass,,,,,,36-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=170
,,,,,,,,,,2,7.54,Phoenix Suns,shot,,,,,,,,,,Beasley,,,,missed,,3PT Jump Shot,,,36-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=171
,,,,,,,,,,2,7.53,Memphis Grizzlies,rebound,,,,,,,,,,Speights,,,,,,,,,36-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=172
,,,,,,,,,,2,7.42,Memphis Grizzlies,shot,,,,,,,,,,Speights,,,,missed,,Jump Shot,,,36-25,7,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=173
,,,,,,,,,,2,7.40,Phoenix Suns,rebound,,,,,,,,,,Beasley,,,,,,,,,36-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=174
,,,,,,,,,,2,7.39,Memphis Grizzlies,foul,,,,,,,,,,Arthur,,,,,,Personal,,,36-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=175
,,,,,,,,,,2,7.39,Phoenix Suns,substitute,,,,Dudley,,Beasley,,,,,,,,,,,,,36-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=176
,,,,,,,,,,2,7.39,Memphis Grizzlies,substitute,,,,Gasol,,Arthur,,,,,,,,,,,,,36-25,,http://stats.nba.com/cvp.html?GameID=0021200320&GameEventID=177
