"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","12:00.0","","jumpball","","Omer Asik","","","Robin Lopez","","","","","","","","","","","","","","",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","11:45.0","Houston Rockets","shot","","","","","","","","","","Chandler Parsons","3","","","missed","","jumper ","185","311","0-0","27"
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","11:44.0","New Orleans Hornets","rebound","","","","","","","","","","Greivis Vasquez","","","","","","Defensive","","","0-0",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","11:28.0","New Orleans Hornets","shot","","","","","","","","","","Greivis Vasquez","2","","","missed","","jumper","183","236","0-0","20"
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","11:27.0","New Orleans Hornets","rebound","","","","","","","","","","Al-Farouq Aminu","","","","","","Offensive","","","0-0",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","11:12.0","New Orleans Hornets","shot","","","","","","","","","","Eric Gordon","2","","","missed","","driving layup","223","62","0-0","3"
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","11:11.0","Houston Rockets","rebound","","","","","","","","","","Omer Asik","","","","","","Defensive","","","0-0",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","11:00.0","Houston Rockets","shot","","","","","","","","","","Omer Asik","2","","","missed","","layup","271","59","0-0","2"
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","10:59.0","New Orleans Hornets","rebound","","","","","","","","","","Al-Farouq Aminu","","","","","","Defensive","","","0-0",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","10:47.0","New Orleans Hornets","shot","Greivis Vasquez","","","","","","","","","Robin Lopez","2","","","made","","shot","375","64","0-2","13"
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","10:34.0","Houston Rockets","foul","","","","","","","","James Harden","","Robin Lopez","","","","","","Shooting","","","0-2",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","10:34.0","Houston Rockets","free throw","","","","","",""," 1","","2","James Harden","","","foul","made","","","","","1-2",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","10:34.0","Houston Rockets","free throw","","","","","",""," 2","","2","James Harden","","","foul","made","","","","","2-2",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","10:23.0","New Orleans Hornets","turnover","","","","","","","","","","Eric Gordon","","","bad pass","","Jeremy Lin","","","","2-2",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","10:13.0","Houston Rockets","shot","Jeremy Lin","","","","","","","","","Chandler Parsons","3","","","made","","jumper ","480","146","5-2","25"
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","10:03.0","New Orleans Hornets","shot","Greivis Vasquez","","","","","","","","","Robin Lopez","2","","","made","","dunk","248","53","5-4",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","9:53.0","Houston Rockets","turnover","","","","","","","","","","Jeremy Lin","","","bad pass","","Anthony Davis","","","","5-4",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","9:47.0","New Orleans Hornets","shot","Anthony Davis","","","","","","","","","Eric Gordon","2","","","made","","layup","268","57","5-6","2"
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","9:35.0","Houston Rockets","shot","Omer Asik","","","","","","","","","Marcus Morris","3","","","made","","jumper ","13","65","8-6","24"
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","9:16.0","New Orleans Hornets","turnover","","","","","","","","","","Eric Gordon","","","step out of bounds","","","","","","8-6",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","9:01.0","Houston Rockets","shot","","","","","","","","","","Jeremy Lin","3","","","missed","","jumper ","440","223","8-6","26"
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","9:00.0","New Orleans Hornets","rebound","","","","","","","","","","Al-Farouq Aminu","","","","","","Defensive","","","8-6",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","8:38.0","New Orleans Hornets","shot","Greivis Vasquez","","","","","","","","","Robin Lopez","2","","","made","","shot","79","48","8-8","17"
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","8:21.0","Houston Rockets","foul","","","","","","","","James Harden","","Eric Gordon","","","","","","Personal","","","8-8",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","8:16.0","Houston Rockets","turnover","","","","","","","","","","Marcus Morris","","","bad pass","","","","","","8-8",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","7:53.0","New Orleans Hornets","shot","","","","","","","","","","Anthony Davis","2","","","missed","","jumper","330","250","8-8","22"
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","7:50.0","Houston Rockets","rebound","","","","","","","","","","Jeremy Lin","","","","","","Defensive","","","8-8",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","7:49.0","","jumpball","","Jeremy Lin","","","Greivis Vasquez","","","","","","","","","","","","","","",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","7:49.0","Houston Rockets","turnover","","","","","","","","","","Jeremy Lin","","","lost ball","","Greivis Vasquez","","","","8-8",""
"Omer Asik","James Harden","Jeremy Lin","Marcus Morris","Chandler Parsons","Al-Farouq Aminu","Anthony Davis","Eric Gordon","Robin Lopez","Greivis Vasquez","1","7:33.0","New Orleans Hornets","shot","","","","","","","","","","Eric Gordon","2","","","missed","","jumper","89","57","8-8","16"
