"a1"," a2"," a3"," a4"," a5"," h1"," h2"," h3"," h4"," h5"," quarter"," time"," team"," eventtype"," assist"," awayjumpball"," block"," entered"," homejumpball"," left"," numfreeshot"," opponent"," outof"," player"," points"," possession"," reason"," result"," steal"," type"," x"," y"," score"," shotdistance"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","12:00.0","","jumpball","","Larry Sanders","","","Greg Monroe","","","","","","","","","","","","","","",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","11:44.0","Milwaukee Bucks","shot","Ersan Ilyasova","","","","","","","","","Monta Ellis","2","","","made","","shot","232","171","2-0","12"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","11:29.0","Detroit Pistons","shot","Jason Maxiell","","","","","","","","","Kyle Singler","2","","","made","","layup","250","56","2-2","1"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","11:29.0","Detroit Pistons","foul","","","","","","","","Kyle Singler","","Larry Sanders","","","","","","Shooting","","","2-2",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","11:29.0","Detroit Pistons","free throw","","","","","",""," 1","","1","Kyle Singler","","","foul","made","","","","","2-3",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","11:12.0","Milwaukee Bucks","shot","","","","","","","","","","Luc Mbah a Moute","2","","","missed","","jumper","243","267","2-3","22"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","11:11.0","Detroit Pistons","rebound","","","","","","","","","","Jason Maxiell","","","","","","Defensive","","","2-3",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","11:07.0","Detroit Pistons","shot","","","","","","","","","","Brandon Knight","2","","","made","","driving layup","250","56","2-5","1"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","10:53.0","Milwaukee Bucks","shot","","","","","","","","","","Ersan Ilyasova","2","","","missed","","jumper","57","139","2-5","21"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","10:52.0","Detroit Pistons","rebound","","","","","","","","","","Tayshaun Prince","","","","","","Defensive","","","2-5",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","10:38.0","Detroit Pistons","turnover","","","","","","","","","","Greg Monroe","","","lost ball","","Ersan Ilyasova","","","","2-5",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","10:33.0","Milwaukee Bucks","shot","Luc Mbah a Moute","","","","","","","","","Brandon Jennings","2","","","made","","jumper","213","179","4-5","13"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","10:12.0","Detroit Pistons","shot","","","","","","","","","","Kyle Singler","2","","","missed","","jumper","117","192","4-5","19"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","10:11.0","Milwaukee Bucks","rebound","","","","","","","","","","Larry Sanders","","","","","","Defensive","","","4-5",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","9:50.0","Milwaukee Bucks","shot","","","Greg Monroe","","","","","","","Luc Mbah a Moute","2","","","missed","","layup","232","65","4-5","2"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","9:48.0","Detroit Pistons","rebound","","","","","","","","","","Kyle Singler","","","","","","Defensive","","","4-5",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","9:42.0","Detroit Pistons","shot","","","","","","","","","","Jason Maxiell","2","","","missed","","jumper","380","50","4-5","13"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","9:41.0","Detroit Pistons","rebound","","","","","","","","","","Tayshaun Prince","","","","","","Offensive","","","4-5",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","9:33.0","Detroit Pistons","shot","","","","","","","","","","Tayshaun Prince","2","","","made","","jumper","413","146","4-7","19"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","9:19.0","Milwaukee Bucks","foul","","","","","","","","Larry Sanders","","Jason Maxiell","","","","","","Shooting","","","4-7",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","9:19.0","Milwaukee Bucks","free throw","","","","","",""," 1","","2","Larry Sanders","","","foul","missed","","","","","4-7",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","9:19.0","Milwaukee Bucks","rebound","","","","","","","","","","","","","","","","Offensive","","","4-7",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","9:19.0","Milwaukee Bucks","free throw","","","","","",""," 2","","2","Larry Sanders","","","foul","missed","","","","","4-7",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","9:18.0","Milwaukee Bucks","rebound","","","","","","","","","","Monta Ellis","","","","","","Offensive","","","4-7",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","9:07.0","Milwaukee Bucks","shot","","","","","","","","","","Monta Ellis","3","","","missed","","jumper ","168","310","4-7","27"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","9:06.0","Detroit Pistons","rebound","","","","","","","","","","Tayshaun Prince","","","","","","Defensive","","","4-7",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:58.0","Detroit Pistons","shot","Tayshaun Prince","","","","","","","","","Jason Maxiell","2","","","made","","layup","256","56","4-9","1"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:58.0","Detroit Pistons","foul","","","","","","","","Jason Maxiell","","Ersan Ilyasova","","","","","","Shooting","","","4-9",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:58.0","Detroit Pistons","free throw","","","","","",""," 1","","1","Jason Maxiell","","","foul","made","","","","","4-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:37.0","Milwaukee Bucks","shot","","","","","","","","","","Brandon Jennings","2","","","missed","","jumper","116","113","4-10","15"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:36.0","Milwaukee Bucks","rebound","","","","","","","","","","Larry Sanders","","","","","","Offensive","","","4-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:35.0","Milwaukee Bucks","shot","","","","","","","","","","Larry Sanders","2","","","missed","","tip shot","250","57","4-10","1"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:34.0","Detroit Pistons","rebound","","","","","","","","","","Tayshaun Prince","","","","","","Defensive","","","4-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:32.0","Detroit Pistons","turnover","","","","","","","","","","Kyle Singler","","","bad pass","","Monta Ellis","","","","4-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:27.0","Milwaukee Bucks","shot","","","","","","","","","","Brandon Jennings","2","","","missed","","jumper","59","62","4-10","19"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:27.0","Detroit Pistons","rebound","","","","","","","","","","","","","","","","Defensive","","","4-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:27.0","Detroit Pistons","foul","","","","","","","","Greg Monroe","","Luc Mbah a Moute","","","","","","Loose ball","","","4-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:02.0","Detroit Pistons","shot","","","","","","","","","","Tayshaun Prince","2","","","missed","","jumper","183","247","4-10","21"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:02.0","Detroit Pistons","rebound","","","","","","","","","","","","","","","","Offensive","","","4-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","8:02.0","Detroit Pistons","turnover","","","","","","","","","","","","","shot clock","","","","","","4-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","7:46.0","Milwaukee Bucks","shot","","","","","","","","","","Brandon Jennings","2","","","made","","driving layup","256","48","6-10","1"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","7:36.0","Detroit Pistons","foul","","","","","","","","Kyle Singler","","Monta Ellis","","","","","","Personal","","","6-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","7:25.0","Detroit Pistons","shot","","","","","","","","","","Brandon Knight","2","","","missed","","Running Jumper","287","124","6-10","8"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","7:23.0","Detroit Pistons","rebound","","","","","","","","","","Greg Monroe","","","","","","Offensive","","","6-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","7:17.0","Detroit Pistons","foul","","","","","","","","Greg Monroe","","Larry Sanders","","","","","","Shooting","","","6-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","7:17.0","Detroit Pistons","free throw","","","","","",""," 1","","2","Greg Monroe","","","foul","missed","","","","","6-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Larry Sanders","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","7:17.0","Detroit Pistons","rebound","","","","","","","","","","","","","","","","Offensive","","","6-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","7:17.0","Milwaukee Bucks","substitute","","","","Samuel Dalembert","","Larry Sanders","","","","","","","","","","","","","6-10",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","7:17.0","Detroit Pistons","free throw","","","","","",""," 2","","2","Greg Monroe","","","foul","made","","","","","6-11",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","7:07.0","Milwaukee Bucks","shot","","","","","","","","","","Monta Ellis","2","","","missed","","layup","256","50","6-11","1"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","7:06.0","Detroit Pistons","rebound","","","","","","","","","","Greg Monroe","","","","","","Defensive","","","6-11",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","6:59.0","Detroit Pistons","shot","","","","","","","","","","Kyle Singler","3","","","missed","","jumper ","457","212","6-11","26"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","6:58.0","Milwaukee Bucks","rebound","","","","","","","","","","Ersan Ilyasova","","","","","","Defensive","","","6-11",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","6:53.0","Milwaukee Bucks","turnover","","","","","","","","","","Monta Ellis","","","lost ball","","Greg Monroe","","","","6-11",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","6:46.0","Detroit Pistons","shot","","","","","","","","","","Kyle Singler","2","","","missed","","layup","250","56","6-11","1"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","6:45.0","Milwaukee Bucks","rebound","","","","","","","","","","Luc Mbah a Moute","","","","","","Defensive","","","6-11",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","6:30.0","Milwaukee Bucks","shot","","","","","","","","","","Brandon Jennings","3","","","missed","","jumper ","252","318","6-11","27"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","6:29.0","Detroit Pistons","rebound","","","","","","","","","","Greg Monroe","","","","","","Defensive","","","6-11",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","6:21.0","Detroit Pistons","shot","","","","","","","","","","Tayshaun Prince","2","","","missed","","jumper","418","59","6-11","17"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","6:20.0","Detroit Pistons","rebound","","","","","","","","","","Greg Monroe","","","","","","Offensive","","","6-11",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","6:15.0","Detroit Pistons","shot","Greg Monroe","","","","","","","","","Kyle Singler","3","","","made","","jumper ","27","64","6-14","22"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","6:00.0","Milwaukee Bucks","turnover","","","","","","","","","","Monta Ellis","","","out of bounds lost ball","","","","","","6-14",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Luc Mbah a Moute","Samuel Dalembert","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","5:56.0","Detroit Pistons","timeout","","","","","","","","","","","","","","","","full","","","6-14",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","5:56.0","Milwaukee Bucks","substitute","","","","Mike Dunleavy","","Luc Mbah a Moute","","","","","","","","","","","","","6-14",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","5:33.0","Detroit Pistons","shot","","","","","","","","","","Tayshaun Prince","2","","","made","","jumper","229","139","6-16","9"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","5:22.0","Milwaukee Bucks","foul","","","","","","","","Brandon Jennings","","Greg Monroe","","","","","","Shooting","","","6-16",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","5:22.0","Milwaukee Bucks","free throw","","","","","",""," 1","","2","Brandon Jennings","","","foul","missed","","","","","6-16",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","5:22.0","Milwaukee Bucks","rebound","","","","","","","","","","","","","","","","Offensive","","","6-16",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","5:22.0","Milwaukee Bucks","free throw","","","","","",""," 2","","2","Brandon Jennings","","","foul","missed","","","","","6-16",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","5:22.0","Milwaukee Bucks","rebound","","","","","","","","","","","","","","","","Offensive","","","6-16",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Greg Monroe","Tayshaun Prince","Kyle Singler","1","5:22.0","Milwaukee Bucks","foul","","","","","","","","Brandon Jennings","","Greg Monroe","","","","","","Loose ball","","","6-16",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","5:22.0","Detroit Pistons","substitute","","","","Andre Drummond","","Greg Monroe","","","","","","","","","","","","","6-16",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","5:14.0","Milwaukee Bucks","shot","","","","","","","","","","Monta Ellis","2","","","missed","","jumper","281","259","6-16","21"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","5:13.0","Milwaukee Bucks","rebound","","","","","","","","","","Samuel Dalembert","","","","","","Offensive","","","6-16",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","5:10.0","Milwaukee Bucks","turnover","","","","","","","","","","Samuel Dalembert","","","bad pass","","Andre Drummond","","","","6-16",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","5:06.0","Detroit Pistons","shot","","","","","","","","","","Andre Drummond","2","","","missed",""," ","254","59","6-16","1"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","5:02.0","Milwaukee Bucks","rebound","","","","","","","","","","Samuel Dalembert","","","","","","Defensive","","","6-16",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","4:59.0","Milwaukee Bucks","turnover","","","","","","","","","","Brandon Jennings","","","step out of bounds","","","","","","6-16",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","4:35.0","Detroit Pistons","shot","","","","","","","","","","Tayshaun Prince","2","","","made","","shot","405","48","6-18","16"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","4:25.0","Milwaukee Bucks","shot","Brandon Jennings","","","","","","","","","Ersan Ilyasova","3","","","made","","jumper ","309","311","9-18","27"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","4:05.0","Detroit Pistons","turnover","","","","","","","","","","Brandon Knight","","","bad pass","","Ersan Ilyasova","","","","9-18",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","4:02.0","Milwaukee Bucks","shot","","","Jason Maxiell","","","","","","","Brandon Jennings","2","","","missed","","layup","251","54","9-18",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","3:59.0","Detroit Pistons","rebound","","","","","","","","","","Andre Drummond","","","","","","Defensive","","","9-18",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","3:55.0","Detroit Pistons","turnover","","","","","","","","","","Kyle Singler","","","bad pass","","Monta Ellis","","","","9-18",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","3:52.0","Milwaukee Bucks","turnover","","","","","","","","","","Monta Ellis","","","lost ball","","Kyle Singler","","","","9-18",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","3:52.0","Detroit Pistons","foul","","","","","","","","Kyle Singler","","Samuel Dalembert","","","","","","Personal","","","9-18",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","3:52.0","Detroit Pistons","free throw","","","","","",""," 1","","2","Kyle Singler","","","foul","made","","","","","9-19",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","3:52.0","Detroit Pistons","free throw","","","","","",""," 2","","2","Kyle Singler","","","foul","made","","","","","9-20",""
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","3:36.0","Milwaukee Bucks","shot","","","","","","","","","","Brandon Jennings","2","","","made","","jumper","240","231","11-20","18"
"Monta Ellis","Ersan Ilyasova","Brandon Jennings","Samuel Dalembert","Mike Dunleavy","Brandon Knight","Jason Maxiell","Tayshaun Prince","Kyle Singler","Andre Drummond","1","3:16.0","Detroit Pistons","shot","","","","","","","","","","Jason Maxiell","2","","","missed","","jumper","377","192","11-20","19"
